,Document_No,Dominant_Topic,Topic_Per_Cont,Keywords,Text
113,113,6.0,0.4860000014305115,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Where a type of processing in particular using new technologies and taking into account the nature scope context and purposes of the processing is likely to result in a high risk to the rights and freedoms of natural persons the controller shall prior to the processing carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. A single assessment may address a set of similar processing operations that present similar high risks. 
114,114,7.0,0.809499979019165,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The controller shall seek the advice of the data protection officer where designated when carrying out a data protection impact assessment. 
115,115,6.0,0.3375999927520752,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", A data protection impact assessment referred to in paragraph  shall in particular be required in the case of:         a a systematic and extensive evaluation of personal aspects relating to natural persons which is based on automated processing including profiling and on which decisions are based that produce legal effects concerning the natural person or similarly significantly affect the natural person         b processing on a large scale of special categories of data referred to in Article 9 or of personal data relating to criminal convictions and offences referred to in Article  or         c a systematic monitoring of a publicly accessible area on a large scale. 
116,116,0.0,0.5128999948501587,"authority, supervisory, shall, member, board, lead, protection, draft, complaint, issue", The supervisory authority shall establish and make public a list of the kind of processing operations which are subject to the requirement for a data protection impact assessment pursuant to paragraph . The supervisory authority shall communicate those lists to the Board referred to in Article . 
117,117,0.0,0.5174000263214111,"authority, supervisory, shall, member, board, lead, protection, draft, complaint, issue", The supervisory authority may also establish and make public a list of the kind of processing operations for which no data protection impact assessment is required. The supervisory authority shall communicate those lists to the Board. 
118,118,3.0,0.25850000977516174,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Prior to the adoption of the lists referred to in paragraphs  and  the competent supervisory authority shall apply the consistency mechanism referred to in Article  where such lists involve processing activities which are related to the offering of goods or services to data subjects or to the monitoring of their behaviour in several Member States or may substantially affect the free movement of personal data within the Union. 
119,119,6.0,0.7272999882698059,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", The assessment shall contain at least:         a a systematic description of the envisaged processing operations and the purposes of the processing including where applicable the legitimate interest pursued by the controller         b an assessment of the necessity and proportionality of the processing operations in relation to the purposes         c an assessment of the risks to the rights and freedoms of data subjects referred to in paragraph  and         d the measures envisaged to address the risks including safeguards security measures and mechanisms to ensure the protection of personal data and to demonstrate compliance with this Regulation taking into account the rights and legitimate interests of data subjects and other persons concerned. 
120,120,6.0,0.47839999198913574,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Compliance with approved codes of conduct referred to in Article  by the relevant controllers or processors shall be taken into due account in assessing the impact of the processing operations performed by such controllers or processors in particular for the purposes of a data protection impact assessment. 
121,121,7.0,0.41780000925064087,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", Where appropriate the controller shall seek the views of data subjects or their representatives on the intended processing without prejudice to the protection of commercial or public interests or the security of processing operations. 
122,122,9.0,0.4458000063896179,"datum, rule, union, member, state, law, personal, specific, regulation, obligation",. Where processing pursuant to point c or e of Article  has a legal basis in Union law or in the law of the Member State to which the controller is subject that law regulates the specific processing operation or set of operations in question and a data protection impact assessment has already been carried out as part of a general impact assessment in the context of the adoption of that legal basis paragraphs  to  shall not apply unless Member States deem it to be necessary to carry out such an assessment prior to processing activities. 
123,123,7.0,0.5403000116348267,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority",. Where necessary the controller shall carry out a review to assess if processing is performed in accordance with the data protection impact assessment at least when there is a change of the risk represented by processing operations. 
124,124,3.0,0.7246000170707703,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The controller shall consult the supervisory authority prior to processing where a data protection impact assessment under Article  indicates that the processing would result in a high risk in the absence of measures taken by the controller to mitigate the risk. 
125,125,3.0,0.7703999876976013,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Where the supervisory authority is of the opinion that the intended processing referred to in paragraph  would infringe this Regulation in particular where the controller has insufficiently identified or mitigated the risk the supervisory authority shall within period of up to eight weeks of receipt of the request for consultation provide written advice to the controller and where applicable to the processor and may use any of its powers referred to in Article . That period may be extended by six weeks taking into account the complexity of the intended processing. The supervisory authority shall inform the controller and where applicable the processor of any such extension within one month of receipt of the request for consultation together with the reasons for the delay. Those periods may be suspended until the supervisory authority has obtained information it has requested for the purposes of the consultation. 
126,126,3.0,0.3424000144004822,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", When consulting the supervisory authority pursuant to paragraph  the controller shall provide the supervisory authority with:         a where applicable the respective responsibilities of the controller joint controllers and processors involved in the processing in particular for processing within a group of undertakings         b the purposes and means of the intended processing         c the measures and safeguards provided to protect the rights and freedoms of data subjects pursuant to this Regulation         d where applicable the contact details of the data protection officer e 	the data protection impact assessment provided for in Article  and f 	any other information requested by the supervisory authority. 
127,127,2.0,0.4318999946117401,"article, refer, code, paragraph, pursuant, certification, approve, conduct, provide, application", Member States shall consult the supervisory authority during the preparation of a proposal for a legislative measure to be adopted by a national parliament or of a regulatory measure based on such a legislative measure which relates to processing. 
128,128,4.0,0.4584999978542328,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", Notwithstanding paragraph  Member State law may require controllers to consult with and obtain prior authorisation from the supervisory authority in relation to processing by a controller for the performance of a task carried out by the controller in the public interest including processing in relation to social protection and public health. SECTION  DATA PROTECTION OFFICER 
129,129,7.0,0.6074000000953674,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The controller and the processor shall designate a data protection officer in any case where:         a the processing is carried out by a public authority or body except for courts acting in their judicial capacity         b the core activities of the controller or the processor consist of processing operations which by virtue of their nature their scope and/or their purposes require regular and systematic monitoring of data subjects on a large scale or         c the core activities of the controller or the processor consist of processing on a large scale of special categories of data pursuant to Article 9 and personal data relating to criminal convictions and offences referred to in Article . 
130,130,7.0,0.6464999914169312,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", A group of undertakings may appoint a single data protection officer provided that a data protection officer is easily accessible from each establishment. 
131,131,7.0,0.5544000267982483,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", Where the controller or the processor is a public authority or body a single data protection officer may be designated for several such authorities or bodies taking account of their organisational structure and size. 
132,132,7.0,0.5522000193595886,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", In cases other than those referred to in paragraph  the controller or processor or associations and other bodies representing categories of controllers or processors may or where required by Union or Member State law shall designate a data protection officer. The data protection officer may act for such associations and other bodies representing controllers or processors. 
133,133,7.0,0.3928000032901764,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The data protection officer shall be designated on the basis of professional qualities and in particular expert knowledge of data protection law and practices and the ability to fulfil the tasks referred to in Article 9. 
134,134,7.0,0.3939000070095062,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The data protection officer may be a staff member of the controller or processor or fulfil the tasks on the basis of a service contract. 
135,135,7.0,0.48030000925064087,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The controller or the processor shall publish the contact details of the data protection officer and communicate them to the supervisory authority. 
136,136,7.0,0.6021000146865845,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The controller and the processor shall ensure that the data protection officer is involved properly and in a timely manner in all issues which relate to the protection of personal data. 
137,137,7.0,0.858299970626831,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The controller and processor shall support the data protection officer in performing the tasks referred to in Article 9 by providing resources necessary to carry out those tasks and access to personal data and processing operations and to maintain his or her expert knowledge. 
138,138,7.0,0.8047000169754028,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The controller and processor shall ensure that the data protection officer does not receive any instructions regarding the exercise of those tasks. He or she shall not be dismissed or penalised by the controller or the processor for performing his tasks. The data protection officer shall directly report to the highest management level of the controller or the processor. 
139,139,7.0,0.5157999992370605,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", Data subjects may contact the data protection officer with regard to all issues related to processing of their personal data and to the exercise of their rights under this Regulation. 
140,140,7.0,0.6499000191688538,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The data protection officer shall be bound by secrecy or confidentiality concerning the performance of his or her tasks in accordance with Union or Member State law. 
141,141,7.0,0.5559999942779541,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The data protection officer may fulfil other tasks and duties. The controller or processor shall ensure that any such tasks and duties do not result in a conflict of interests. 
142,142,7.0,0.5296000242233276,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The data protection officer shall have at least the following tasks:         a to inform and advise the controller or the processor and the employees who carry out processing of their obligations pursuant to this Regulation and to other Union or Member State data protection provisions         b to monitor compliance with this Regulation with other Union or Member State data protection provisions and with the policies of the controller or processor in relation to the protection of personal data including the assignment of responsibilities awareness-raising and training of staff involved in processing operations and the related audits         c to provide advice where requested as regards the data protection impact assessment and monitor its performance pursuant to Article          d to cooperate with the supervisory authority         e to act as the contact point for the supervisory authority on issues relating to processing including the prior consultation referred to in Article  and to consult where appropriate with regard to any other matter. 
